4099;CAGIVA (I)
4104;MALAGUTI (I)
4106;BERTONE (I)
4107;PININFARINA (I)
4114;ALFA LANCIA (I)
4123;APRILIA (I)
4124;HONDA (I)
4127;HUSQVARNA (I)
4133;BELGARDA (I)
4136;FIAT (I)
4138;BERTUOLA (I)
4150;VOR MOTORI (I)
4154;TEAM AZZALIN (I)
4159;VERTEMATI MOTO (I)
4161;EGIMOTORS (I)
4162;L.M.P. (I)
4163;YAMAHA (I)
4191;IVECO FIAT (I)
4192;IVECO (I)
5003;MAZDA (B)
5013;TOYOTA EUROPE (B)
5016;VOLVO (S)
5021;ROECK CARAVANS (B)
5029;IMV-ADRIA (B)
5032;SAAB EUROPE (B)
5035;CHATEAU CARAVANS (B)
5039;HOME-CAR (B)
5048;TOYOTA MEM (B)
5981;KANUNI (TR)
5984;HYUNDAI (TR)
6001;STEYR-PUCH (A)
6003;STEYR-D-PUCH (A)
6007;KTM (A)
6019;GELAENDEF.GES-GFG(A)
6024;PONGRATZ (A)
6115;BOECKMANN
6116;BUERSTNER
6158;EIFELLAND
6344;SIGG
6366;DUIS
6462;MIDDENDORF
6512;CARAVANBAU-HENNERICI
6545;CI CARAVANS WILK
6591;MAGIRUS-DEUTZ
6653;SACHS
6694;TABBERT
6805;MIDDENDORF,MARKTSCH.
6811;BARTHAU ANHAENGERBAU
6916;LORD MUENSTERLAND
6918;DETHLEFFS CARAVANS
6924;FAHRZEUGWERK GRUBE
6936;SUZUKI (D)
6956;ERIBA-HYMER
6995;IFA-KAROSSERIEWERKE
7009;MCC (CH)
7100;HONDA MOTOR (J)
7101;YAMAHA (J)
7102;SUZUKI (J)
7103;KAWASAKI (J)
7104;TOYOTA (J)
7105;NISSAN (J)
7106;FUJI HEAVY IND.(J)
7107;MITSUBISHI (J)
7108;TOYO KOGYO (J)
7111;DAIHATSU (J)
7115;ISUZU (J)
7118;MAZDA (J)
7401;PROTON (MAL)
7431;MITSUBISHI (THA)
7432;THAI HONDA (THA)
7433;THAI YAMAHA (THA)
7452;YAMAHA (RC)
7453;KWANG YANG (RC)
7455;SAN YANG (RC)
7457;TAIW.GOLDEN BEE (RC)
7458;STANDARD MOTOR (RC)
7461;HER CHEE (RC)
7463;C.P.I. MOTOR (RC)
7464;AEON MOTOR (RC)
7467;DINLI (RC)
7468;JIANGSU LINHAI (RC)
7469;BAROSSA MOTOR (RC)
7473;REINMECH CORP.(RC)
7475;HONDA (RC)
7476;CHANGZHOU KWANG.(RC)
7501;YAMAHA (E)
7503;N.M.I.S.A.(E)
7505;NISSAN VEHICULOS (E)
7507;HNOS.SANCHEZ-LAF.(E)
7508;RIEJU (E)
7526;GENERAL MOTORS (E)
7528;FORD (E)
7529;MOTOR IBERICA (E)
7593;SEAT (E)
7599;CHRYSLER (E)
7602;CEMOTO (E)
7605;MERCEDES-BENZ (E)
7606;NISSAN (E)
7607;MONTESA HONDA (E)
7610;SUZUKI (E)
7611;NACIONAL MOTOR (E)
7612;SANTANA (E)
7656;ALPINA
7657;FRANKIA
7670;OBERL.STAHL-U.FZ-BAU
7671;ABL
7686;WM MEYER
7691;IVECO-MAGIRUS
7696;FLENSBURG.FZ-BAU-FFG
7721;HUMBAUR
7765;KOCH
7782;FAV
7795;HIRTH
7800;MELKUS
7801;STEMA
7818;BARKAS
7851;LMC CARAVAN
7884;STEDELE
7887;FISCHER,FZ-BAU
7888;MOT.-U.ZWEIRADW.-MUZ
7891;TEC CARAVAN
7903;SCHMID,FAHRZEUGBAU
7907;ARGE AUDI/PORSCHE
7909;BMW M
7967;QUATTRO
7975;EURA MOBIL
7989;BAOS
8001;CZ-BOEHM.MOTOREN(CS)
8002;AZNP-SKODA (CS)
8004;SKODA (CS)
8006;JAWA (CS)
8008;CZM (CS)
8009;AGADOS (CZ)
8025;VELOREXPORT (CS)
8027;TECHNOSPORT (CR)
8100;IMV-ADRIA (YU)
